Name,In,Out,Comments
Beat 1,00:00:08:15,00:00:10:14,Downbeat
Beat 2,00:00:10:14,00:00:12:09,Downbeat
Beat 3,00:00:12:09,00:00:14:08,Downbeat
Beat 4,00:00:14:08,00:00:16:04,Downbeat
Beat 5,00:00:16:04,00:00:18:02,Downbeat
Beat 6,00:00:18:02,00:00:20:01,Downbeat
Beat 7,00:00:20:01,00:00:21:26,Downbeat
Beat 8,00:00:21:26,00:00:23:25,Downbeat
Beat 9,00:00:23:25,00:00:25:24,Downbeat
Beat 10,00:00:25:24,00:00:27:24,Downbeat
Beat 11,00:00:27:24,00:00:29:23,Downbeat
Beat 12,00:00:29:23,00:00:31:23,Downbeat
Beat 13,00:00:31:23,00:00:33:27,Downbeat
Beat 14,00:00:33:27,00:00:36:01,Downbeat
Beat 15,00:00:36:01,00:00:38:01,Downbeat
Beat 16,00:00:38:01,00:00:39:26,Downbeat
Beat 17,00:00:39:26,00:00:41:24,Downbeat
Beat 18,00:00:41:24,00:00:43:24,Downbeat
Beat 19,00:00:43:24,00:00:45:23,Downbeat
Beat 20,00:00:45:23,00:00:47:22,Downbeat
Beat 21,00:00:47:22,00:00:49:24,Downbeat
Beat 22,00:00:49:24,00:00:51:26,Downbeat
Beat 23,00:00:51:26,00:00:54:00,Downbeat
Beat 24,00:00:54:00,00:00:56:01,Downbeat
Beat 25,00:00:56:01,00:00:58:04,Downbeat
Beat 26,00:00:58:04,00:01:00:08,Downbeat
Beat 27,00:01:00:08,00:01:02:07,Downbeat
Beat 28,00:01:02:07,00:01:04:07,Downbeat
Beat 29,00:01:04:07,00:01:06:04,Downbeat
Beat 30,00:01:06:04,00:01:08:01,Downbeat
Beat 31,00:01:08:01,00:01:10:00,Downbeat
Beat 32,00:01:10:00,00:01:11:29,Downbeat
Beat 33,00:01:11:29,00:01:13:28,Downbeat
Beat 34,00:01:13:28,00:01:15:28,Downbeat
Beat 35,00:01:15:28,00:01:17:27,Downbeat
Beat 36,00:01:17:27,00:01:20:01,Downbeat
Beat 37,00:01:20:01,00:01:22:01,Downbeat
Beat 38,00:01:22:01,00:01:24:00,Downbeat
Beat 39,00:01:24:00,00:01:26:00,Downbeat
Beat 40,00:01:26:00,00:01:27:29,Downbeat
Beat 41,00:01:27:29,00:01:29:29,Downbeat
Beat 42,00:01:29:29,00:01:31:28,Downbeat
Beat 43,00:01:31:28,00:01:34:01,Downbeat
Beat 44,00:01:34:01,00:01:36:06,Downbeat
Beat 45,00:01:36:06,00:01:38:01,Downbeat
Beat 46,00:01:38:01,00:01:40:00,Downbeat
Beat 47,00:01:40:00,00:01:41:29,Downbeat
Beat 48,00:01:41:29,00:01:43:23,Downbeat
Beat 49,00:01:43:23,00:01:45:24,Downbeat
Beat 50,00:01:45:24,00:01:47:21,Downbeat
Beat 51,00:01:47:21,00:01:49:17,Downbeat
Beat 52,00:01:49:17,00:01:51:21,Downbeat
Beat 53,00:01:51:21,00:01:53:21,Downbeat
Beat 54,00:01:53:21,00:01:55:20,Downbeat
Beat 55,00:01:55:20,00:01:57:19,Downbeat
Beat 56,00:01:57:19,00:01:59:18,Downbeat
Beat 57,00:01:59:18,00:02:01:20,Downbeat
Beat 58,00:02:01:20,00:02:03:22,Downbeat
Beat 59,00:02:03:22,00:02:05:21,Downbeat
Beat 60,00:02:05:21,00:02:07:20,Downbeat
Beat 61,00:02:07:20,00:02:09:20,Downbeat
Beat 62,00:02:09:20,00:02:11:19,Downbeat
Beat 63,00:02:11:19,00:02:13:18,Downbeat
Beat 64,00:02:13:18,00:02:15:23,Downbeat
Beat 65,00:02:15:23,00:02:17:22,Downbeat
Beat 66,00:02:17:22,00:02:19:21,Downbeat
Beat 67,00:02:19:21,00:02:21:24,Downbeat
Beat 68,00:02:21:24,00:02:23:25,Downbeat
Beat 69,00:02:23:25,00:02:25:24,Downbeat
Beat 70,00:02:25:24,00:02:27:24,Downbeat
Beat 71,00:02:27:24,00:02:29:23,Downbeat
Beat 72,00:02:29:23,00:02:30:23,Downbeat
