Name,In,Out,Comments
INTRO,00:00:00:00,00:00:10:05,Section
VERSE_1,00:00:10:05,00:00:21:26,Section
PRE_CHORUS,00:00:21:26,00:00:31:22,Section
CHORUS_1,00:00:31:22,00:00:43:09,Section
VERSE_2,00:00:43:09,00:00:53:05,Section
PRE_CHORUS_2,00:00:53:05,00:01:03:04,Section
CHORUS_2,00:01:03:04,00:01:12:29,Section
BRIDGE,00:01:12:29,00:01:24:15,Section
CHORUS_3,00:01:24:15,00:01:34:17,Section
OUTRO,00:01:34:17,00:01:46:08,Section
OUTRO_2,00:01:46:08,00:01:56:05,Section
OUTRO_3,00:01:56:05,00:02:41:15,Section
